id,title,description,age_certification,runtime,hit,imdb_id,imdb_votes,tmdb_popularity,tmdb_score,top_three,release_decade
tm1067148,The Sea Beast,"When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters - and make history to boot.",PG,115,1,tt9288046,18852,1723.363,7.634,1,2020s
tm852360,The Man from Toronto,"In a case of mistaken identity, the worldâ€™s deadliest assassin, known as the Man from Toronto, and a New York City screw-up are forced to team up after being confused for each other at an Airbnb.",PG-13,110,0,tt11671006,31497,1439.906,6.449,1,2020s
tm1020438,Spiderhead,"In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions.",R,106,0,tt9783600,43239,996.869,5.8,1,2020s
tm1126268,Hustle,A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.,R,117,1,tt8009428,89770,746.928,7.9,1,2020s
tm1221677,"Hello, Goodbye, and Everything in Between","Clare and Aidan, who after making a pact that they would break up before college, find themselves retracing the steps of their relationship on their last evening as a couple. The epic date leads them to familiar landmarks, unexpected places, and causes them to question whether high school love is meant to last.",PG-13,83,0,tt4181158,1842,564.004,5.965,1,2020s
tm305129,Sing 2,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",PG,110,1,tt6467266,58423,545.619,8.052,1,2020s
tm1080445,The Gray Man,"When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head.",PG-13,128,0,tt1649418,46071,510.268,6.851,1,2020s
tm1003630,After We Fell,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",R,99,0,tt13069986,13221,341.558,7.2,1,2020s
tm195209,Legend,"Suave, charming and volatile, Reggie Kray and his unstable twin brother Ronnie start to leave their mark on the London underworld in the 1960s. Using violence to get what they want, the siblings orchestrate robberies and murders while running nightclubs and protection rackets. With police Detective Leonard ""Nipper"" Read hot on their heels, the brothers continue their rapid rise to power and achieve tabloid notoriety.",R,131,0,tt3569230,178601,333.013,6.985,1,2010s
tm946869,Texas Chainsaw Massacre,"After nearly 50 years of hiding, Leatherface returns to terrorize a group of idealistic influencers who accidentally disrupt his carefully shielded world in a remote Texas town.",R,83,0,tt11755740,48828,331.065,5.2,0,2020s
tm1082564,The Adam Project,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.",PG-13,106,0,tt2463208,183489,317.154,7.106,1,2020s
tm404856,Red Notice,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",PG-13,117,0,tt7991608,264194,311.673,6.775,1,2020s
tm426428,After,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.",PG-13,102,0,tt4126476,53460,238.494,7.166,1,2010s
tm813695,After We Collided,"Based on the 2014 romance novel of the same name, this follows the love life of two young adults.",R,105,0,tt10362466,30522,236.101,7.251,1,2020s
tm1165462,Senior Year,A thirty-seven-year-old woman wakes up from a twenty-year coma and returns to the high school where she was once a popular cheerleader to finish her senior year and become prom queen. The main plot is the empowerment of LGBTQ rights and progress through the years.,R,112,0,tt5315212,34419,232.337,5.9,1,2020s
tm1134087,Borrego,"A young botanist relocates to a small desert town to study an invasive plant species. While out on research, she comes to the aid of a downed plane only to find herself taken captive by an inexperienced drug mule who forces her to lead a trek across the sweltering desert to his drop. A local sheriff is drawn into the hunt as his rebellious daughter sets out to find the missing botanist, all the while being pursued by a local drug receiver.",R,102,0,tt12676006,4122,222.814,6.1,0,2020s
tm160621,The Conjuring,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",R,112,1,tt1457767,496484,221.925,7.533,0,2010s
tm1226954,Girl in the Picture,"A young motherâ€™s mysterious death and her sonâ€™s subsequent kidnapping blow open a decades-long mystery about the womanâ€™s true identity, and the murderous federal fugitive at the center of it all.",R,102,1,tt21059520,9786,219.908,7.196,0,2020s
tm1159163,Fistful of Vengeance,A revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin Kai tracks a killer to Bangkok.,R,94,0,tt14158554,6341,211.567,5.4,1,2020s
tm138297,The Conjuring 2,"New Line Cinema's supernatural thriller The Conjuring 2, with James Wan (Furious 7) once again at the helm following the record-breaking success of The Conjuring, brings to the screen another real case from the files of renowned demonologists Ed and Lorraine Warren. Reprising their roles, Oscar nominee Vera Farmiga (Up In the Air, TV's Bates Motel) and Patrick Wilson (the Insidious films), star as Lorraine and Ed Warren, who, in one of their most terrifying paranormal investigations, travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.",R,134,1,tt3065204,264195,171.724,7.283,1,2010s
tm44730,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance â€“ leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",PG-13,136,0,tt0948470,646119,159.056,6.7,1,2010s
tm1048362,Army of Thieves,A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,R,127,0,tt13024674,73790,157.021,6.9,1,2020s
